STALE — do not treat as current. Canonical status is docs/memory.md (ADR-007). This file is a Day-2 fossil (says Face Recognition/CRUD/Dashboard are "Not Started" when actually shipped). See risk W-10.,,,,,,,,,,
Task ID,Task Name,Sprint,Assigned To,Priority,Status,Story Points,Start Date,End Date,Dependencies,Notes
T-032,User Manual,Sprint 5,Ekata Rimal,High,Not Started,3,8/17/2026,8/20/2026,ALL,End-user docs
T-033,Final Report,Sprint 5,Prizma Subedi,Critical,Not Started,8,8/17/2026,8/23/2026,ALL,Complete project report
T-034,Presentation,Sprint 5,Prizma Subedi,Critical,Not Started,5,8/20/2026,8/24/2026,T-033,15-min presentation
T-035,API Documentation,Sprint 5,Abhishek Rokaya,Medium,Not Started,3,8/21/2026,8/23/2026,ALL,API reference
T-036,Final Project Submission,Sprint 5,Prizma Subedi,Critical,Not Started,1,8/25/2026,8/25/2026,ALL,Submit all deliverables
T-037,Database Seeding Scripts,Sprint 2,Abhishek Rokaya,Medium,Not Started,2,8/1/2026,8/2/2026,T-016,Sample data for testing
T-038,Email Notification Service,Sprint 4,Abhishek Rokaya,Low,Not Started,3,8/12/2026,8/14/2026,T-025,Send attendance alerts
T-039,Password Reset Feature,Sprint 1,Abhishek Rokaya,Medium,Not Started,2,7/25/2026,7/26/2026,T-009,POST /api/reset-password
T-040,Responsive Mobile Styles,Sprint 4,Ekata Rimal,Low,Not Started,3,8/14/2026,8/16/2026,T-027,Mobile-friendly UI
T-041,Load Testing,Sprint 5,Abhishek Rokaya,Medium,Not Started,3,8/20/2026,8/22/2026,T-030,k6 stress tests
T-042,Docker Containerization,Sprint 5,Abhishek Rokaya,Low,Not Started,5,8/22/2026,8/25/2026,T-031,Docker compose setup
---SPRINT SUMMARY---
Sprint,Total Tasks,Done,In Progress,Not Started,Total Story Points,Completed Points,Completion %
Sprint 0,7,7,0,0,21,21,100
Sprint 1,6,0,3,3,14,0,0
Sprint 2,7,0,0,7,26,0,0
Sprint 3,5,0,0,5,24,0,0
Sprint 4,5,0,0,5,17,0,0
Sprint 5,12,0,0,12,51,0,0
TOTAL,42,7,3,32,153,21,14
